smiles,cid_tid_smiles
Brc1ccc(NN=C2C(c3ccccc3)=NN=C2c2ccccc2)cc1,CHEMBL5193850&CHEMBL261&Brc1ccc(NN=C2C(c3ccccc3)=NN=C2c2ccccc2)cc1
C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1,CHEMBL4435346&CHEMBL261&C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1
C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1,CHEMBL4566851&CHEMBL261&C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1
C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1,CHEMBL3402973&CHEMBL261&C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1
C#CCN(CC#C)c1nnc(S(N)(=O)=O)s1,CHEMBL3410761&CHEMBL261&C#CCN(CC#C)c1nnc(S(N)(=O)=O)s1
C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1,CHEMBL386542&CHEMBL261&C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1
C#CCNc1ccc(S(N)(=O)=O)cc1,CHEMBL4454802&CHEMBL261&C#CCNc1ccc(S(N)(=O)=O)cc1
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,CHEMBL217569&CHEMBL261&C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1
C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,CHEMBL4447288_CHEMBL4464493_CHEMBL4519039&CHEMBL261&C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1
C#CCOc1ccc(S(N)(=O)=O)cc1,CHEMBL3402961&CHEMBL261&C#CCOc1ccc(S(N)(=O)=O)cc1
C#CCSc1ccc(S(N)(=O)=O)cc1,CHEMBL4462614&CHEMBL261&C#CCSc1ccc(S(N)(=O)=O)cc1
C#CCSc1ccncc1S(N)(=O)=O,CHEMBL1164486&CHEMBL261&C#CCSc1ccncc1S(N)(=O)=O
C#Cc1ccc(S(N)(=O)=O)cc1,CHEMBL272881&CHEMBL261&C#Cc1ccc(S(N)(=O)=O)cc1
C#Cc1cccc(S(N)(=O)=O)c1,CHEMBL1232090&CHEMBL261&C#Cc1cccc(S(N)(=O)=O)c1
C=C(C)C(=O)OCCOC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccc(C)cc1,CHEMBL5175133&CHEMBL261&C=C(C)C(=O)OCCOC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccc(C)cc1
C=C(C)C(=O)OCCOC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccccc1,CHEMBL5207753&CHEMBL261&C=C(C)C(=O)OCCOC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccccc1
C=C(C)C(=O)OCCOC(=O)C1=C(C)NC(=S)NC1c1ccc(C)cc1,CHEMBL5191286&CHEMBL261&C=C(C)C(=O)OCCOC(=O)C1=C(C)NC(=S)NC1c1ccc(C)cc1
C=C(C)C(COC(=O)c1cccnc1)c1c(OC)ccc2ccc(=O)oc12,CHEMBL2334352&CHEMBL261&C=C(C)C(COC(=O)c1cccnc1)c1c(OC)ccc2ccc(=O)oc12
C=C(C)C1CCC2(COS(N)(=O)=O)CCC3(C)C(CCC4C5(C)CCC(OS(N)(=O)=O)C(C)(C)C5CCC43C)C12,CHEMBL2113026&CHEMBL261&C=C(C)C1CCC2(COS(N)(=O)=O)CCC3(C)C(CCC4C5(C)CCC(OS(N)(=O)=O)C(C)(C)C5CCC43C)C12
C=C(C)C=Cc1c(OC)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2,CHEMBL2334004&CHEMBL261&C=C(C)C=Cc1c(OC)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2
