smiles,cid_tid_smiles
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,CHEMBL5177240&CHEMBL325&C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,CHEMBL5170598&CHEMBL325&C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,CHEMBL5187984&CHEMBL325&C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,CHEMBL5200566&CHEMBL325&C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,CHEMBL5178014&CHEMBL325&C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl
C#CCN(C)CCCOc1cc(NCc2ccc(C=CC(=O)NO)cc2)ccc1Cl,CHEMBL5191350&CHEMBL325&C#CCN(C)CCCOc1cc(NCc2ccc(C=CC(=O)NO)cc2)ccc1Cl
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,CHEMBL5182215&CHEMBL325&C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,CHEMBL5193384&CHEMBL325&C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,CHEMBL5171489&CHEMBL325&C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,CHEMBL4637274&CHEMBL325&C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)NO)c4)cc23)c1,CHEMBL3218002&CHEMBL325&C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)NO)c4)cc23)c1
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)Nc5ccccc5N)c4)cc23)c1,CHEMBL3218001&CHEMBL325&C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)Nc5ccccc5N)c4)cc23)c1
C=C(CCCCCCC(=O)NO)c1ccc2ccccc2c1,CHEMBL95535&CHEMBL325&C=C(CCCCCCC(=O)NO)c1ccc2ccccc2c1
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS,CHEMBL2047683&CHEMBL325&C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS
C=C1CN(Cc2ccc(C(=O)Nc3ccccc3N)cc2)C(=O)c2ccccc21,CHEMBL4294949&CHEMBL325&C=C1CN(Cc2ccc(C(=O)Nc3ccccc3N)cc2)C(=O)c2ccccc21
