core,substituents,cid,tid,smiles,analogue_series_id
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Brc1ccc([*:1])cc1,CHEMBL4779999,CHEMBL4822,Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Cc1ccc([*:1])cc1,CHEMBL4743358,CHEMBL4822,Cc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Cc1cccc([*:1])c1,CHEMBL4752466,CHEMBL4822,Cc1cccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)c1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Clc1ccc([*:1])cc1,CHEMBL4756730,CHEMBL4822,Clc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Fc1ccc([*:1])c(F)c1,CHEMBL4759108,CHEMBL4822,Fc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)c(F)c1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Fc1ccc([*:1])cc1,CHEMBL4761911,CHEMBL4822,Fc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Oc1ccc([*:1])c(O)c1,CHEMBL4761564,CHEMBL4822,Oc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)c(O)c1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Oc1ccccc1[*:1],CHEMBL4782180,CHEMBL4822,Oc1ccccc1-c1nnc(N2CCN(c3ccccn3)CC2)o1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,c1ccc([*:1])cc1,CHEMBL4746559,CHEMBL4822,c1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,0
c1ccc(N2CCN(c3nnc([*:1])o3)CC2)nc1,Oc1ccc([*:1])cc1,CHEMBL4746180,CHEMBL4822,Oc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,0
COCC12CC1C(C)(c1cc(NC(=O)c3cnc(O[*:1])cn3)cc(F)c1F)N=C(N)S2,C#CC[*:1],CHEMBL4560579_CHEMBL5093088,CHEMBL4822,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(COC)CC43)c2)cn1,1
COCC12CC1C(C)(c1cc(NC(=O)c3cnc(O[*:1])cn3)cc(F)c1F)N=C(N)S2,CCC[*:1],CHEMBL4575413,CHEMBL4822,CCCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(COC)CC43)c2)cn1,1
COCC12CC1C(C)(c1cc(NC(=O)c3cnc(O[*:1])cn3)cc(F)c1F)N=C(N)S2,CC[*:1],CHEMBL4593414,CHEMBL4822,CCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(COC)CC43)c2)cn1,1
