core,substituents,cid,tid,smiles,analogue_series_id
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(C[*:1])NO,CHEMBL5170598,CHEMBL325,C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,0
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(CC[*:1])NO,CHEMBL5187984,CHEMBL325,C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,0
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(CCC[*:1])NO,CHEMBL5200566,CHEMBL325,C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,0
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)[*:1])c4)cc23)c1,ON[*:1],CHEMBL3218002,CHEMBL325,C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)NO)c4)cc23)c1,1
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)[*:1])c4)cc23)c1,Nc1ccccc1N[*:1],CHEMBL3218001,CHEMBL325,C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)Nc5ccccc5N)c4)cc23)c1,1
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn([*:1])nn1,O=C(CCC[*:1])NO,CHEMBL4759072,CHEMBL325,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,2
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn([*:1])nn1,O=C(CC[*:1])NO,CHEMBL4793338,CHEMBL325,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCC(=O)NO)nn1,2
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn([*:1])nn1,O=C(CCCC[*:1])NO,CHEMBL4744985,CHEMBL325,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCCC(=O)NO)nn1,2
O=C(CCCCCCC(=O)Nc1cccc(C[*:1])c1)NO,[*:1],CHEMBL3098603,CHEMBL325,Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,3
O=C(CCCCCCC(=O)Nc1cccc(C[*:1])c1)NO,C#CCN(C)[*:1],CHEMBL5171489,CHEMBL325,C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,3
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn([*:1])nn1,O=C(CC[*:1])NO,CHEMBL4759697,CHEMBL325,C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCC(=O)NO)nn1,4
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn([*:1])nn1,O=C(CCCC[*:1])NO,CHEMBL4783641,CHEMBL325,C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCCCC(=O)NO)nn1,4
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn([*:1])nn1,O=C(CCC[*:1])NO,CHEMBL4794998,CHEMBL325,C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,4
CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(O[*:1])ccc3o2)cc1,[*:1],CHEMBL5086141,CHEMBL325,CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(O)ccc3o2)cc1,5
CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(O[*:1])ccc3o2)cc1,C=CC[*:1],CHEMBL5089744,CHEMBL325,C=CCOc1ccc2oc(C(=O)NCc3ccc(C(=O)NNCCC)cc3)cc2c1,5
CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(O[*:1])ccc3o2)cc1,C[*:1],CHEMBL5093099,CHEMBL325,CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(OC)ccc3o2)cc1,5
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,[*:1],CHEMBL4645602,CHEMBL325,O=C(NO)c1ccc(NC(=O)C2(c3ccccc3)CCCC2)cc1,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,CC(=NO)c1sccc1[*:1],CHEMBL4633075,CHEMBL325,CC(=NO)c1sccc1-c1ccc(C2(C(=O)Nc3ccc(C(=O)NO)cc3)CCCC2)cc1,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,CC(=O)Nc1cccc([*:1])c1,CHEMBL4646613,CHEMBL325,CC(=O)Nc1cccc(-c2ccc(C3(C(=O)Nc4ccc(C(=O)NO)cc4)CCCC3)cc2)c1,6
