,GAT,GAT-rg,PPGAT
P08581,"{'Accuracy': '0.945 ± 0.011', 'AUROC': '0.977 ± 0.005'}","{'Accuracy': '0.919 ± 0.009', 'AUROC': '0.969 ± 0.007'}","{'Accuracy': '0.912 ± 0.009', 'AUROC': '0.960 ± 0.006'}"
P35968,"{'Accuracy': '0.884 ± 0.018', 'AUROC': '0.942 ± 0.012'}","{'Accuracy': '0.867 ± 0.013', 'AUROC': '0.933 ± 0.008'}","{'Accuracy': '0.859 ± 0.009', 'AUROC': '0.927 ± 0.008'}"
Q16790,"{'Accuracy': '0.967 ± 0.004', 'AUROC': '0.989 ± 0.002'}","{'Accuracy': '0.958 ± 0.003', 'AUROC': '0.985 ± 0.001'}","{'Accuracy': '0.963 ± 0.010', 'AUROC': '0.986 ± 0.006'}"
P56817,"{'Accuracy': '0.933 ± 0.011', 'AUROC': '0.978 ± 0.006'}","{'Accuracy': '0.907 ± 0.011', 'AUROC': '0.962 ± 0.009'}","{'Accuracy': '0.939 ± 0.006', 'AUROC': '0.980 ± 0.005'}"
P22303,"{'Accuracy': '0.916 ± 0.005', 'AUROC': '0.965 ± 0.003'}","{'Accuracy': '0.891 ± 0.023', 'AUROC': '0.950 ± 0.011'}","{'Accuracy': '0.917 ± 0.006', 'AUROC': '0.962 ± 0.003'}"
P06276,"{'Accuracy': '0.919 ± 0.008', 'AUROC': '0.966 ± 0.006'}","{'Accuracy': '0.898 ± 0.011', 'AUROC': '0.952 ± 0.009'}","{'Accuracy': '0.908 ± 0.011', 'AUROC': '0.959 ± 0.013'}"
P00915,"{'Accuracy': '0.966 ± 0.008', 'AUROC': '0.990 ± 0.002'}","{'Accuracy': '0.963 ± 0.009', 'AUROC': '0.984 ± 0.005'}","{'Accuracy': '0.968 ± 0.004', 'AUROC': '0.989 ± 0.002'}"
P34913,"{'Accuracy': '0.946 ± 0.006', 'AUROC': '0.980 ± 0.003'}","{'Accuracy': '0.940 ± 0.005', 'AUROC': '0.977 ± 0.005'}","{'Accuracy': '0.951 ± 0.009', 'AUROC': '0.984 ± 0.005'}"
Q13547,"{'Accuracy': '0.974 ± 0.007', 'AUROC': '0.986 ± 0.004'}","{'Accuracy': '0.965 ± 0.003', 'AUROC': '0.985 ± 0.003'}","{'Accuracy': '0.964 ± 0.019', 'AUROC': '0.982 ± 0.008'}"
P27487,"{'Accuracy': '0.970 ± 0.006', 'AUROC': '0.992 ± 0.001'}","{'Accuracy': '0.964 ± 0.006', 'AUROC': '0.985 ± 0.005'}","{'Accuracy': '0.968 ± 0.012', 'AUROC': '0.988 ± 0.004'}"
