,GAT,GAT-rg,PPGAT
P08581,"{'Accuracy': '0.942 ± 0.004', 'AUROC': '0.978 ± 0.003'}","{'Accuracy': '0.911 ± 0.021', 'AUROC': '0.959 ± 0.008'}","{'Accuracy': '0.901 ± 0.007', 'AUROC': '0.959 ± 0.007'}"
P35968,"{'Accuracy': '0.893 ± 0.006', 'AUROC': '0.951 ± 0.004'}","{'Accuracy': '0.877 ± 0.011', 'AUROC': '0.936 ± 0.011'}","{'Accuracy': '0.874 ± 0.008', 'AUROC': '0.939 ± 0.008'}"
Q16790,"{'Accuracy': '0.970 ± 0.002', 'AUROC': '0.989 ± 0.002'}","{'Accuracy': '0.959 ± 0.003', 'AUROC': '0.984 ± 0.004'}","{'Accuracy': '0.965 ± 0.003', 'AUROC': '0.986 ± 0.002'}"
P56817,"{'Accuracy': '0.927 ± 0.012', 'AUROC': '0.977 ± 0.007'}","{'Accuracy': '0.918 ± 0.009', 'AUROC': '0.968 ± 0.005'}","{'Accuracy': '0.932 ± 0.006', 'AUROC': '0.980 ± 0.004'}"
P22303,"{'Accuracy': '0.912 ± 0.007', 'AUROC': '0.962 ± 0.008'}","{'Accuracy': '0.907 ± 0.013', 'AUROC': '0.958 ± 0.008'}","{'Accuracy': '0.903 ± 0.016', 'AUROC': '0.959 ± 0.009'}"
P06276,"{'Accuracy': '0.913 ± 0.016', 'AUROC': '0.963 ± 0.009'}","{'Accuracy': '0.894 ± 0.015', 'AUROC': '0.941 ± 0.014'}","{'Accuracy': '0.903 ± 0.012', 'AUROC': '0.956 ± 0.010'}"
P00915,"{'Accuracy': '0.967 ± 0.001', 'AUROC': '0.988 ± 0.002'}","{'Accuracy': '0.955 ± 0.006', 'AUROC': '0.983 ± 0.005'}","{'Accuracy': '0.967 ± 0.005', 'AUROC': '0.987 ± 0.005'}"
P34913,"{'Accuracy': '0.945 ± 0.012', 'AUROC': '0.982 ± 0.005'}","{'Accuracy': '0.943 ± 0.005', 'AUROC': '0.975 ± 0.006'}","{'Accuracy': '0.944 ± 0.007', 'AUROC': '0.982 ± 0.004'}"
Q13547,"{'Accuracy': '0.978 ± 0.004', 'AUROC': '0.985 ± 0.004'}","{'Accuracy': '0.964 ± 0.002', 'AUROC': '0.984 ± 0.003'}","{'Accuracy': '0.964 ± 0.005', 'AUROC': '0.985 ± 0.004'}"
P27487,"{'Accuracy': '0.969 ± 0.006', 'AUROC': '0.992 ± 0.003'}","{'Accuracy': '0.969 ± 0.002', 'AUROC': '0.987 ± 0.001'}","{'Accuracy': '0.974 ± 0.005', 'AUROC': '0.990 ± 0.002'}"
